sample_id,image_path,class_name,class_group,label,source_type,source_run,event_id,track_id,frame_idx,notes
normal_0001_seq_20260407_002145_2048_19363_19380,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_2048_19363_19380\000010.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0002_seq_20260407_002145_1478_14829_14890,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_1478_14829_14890\000032.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0003_seq_20260407_002145_13956_124652_124699,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_13956_124652_124699\000025.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0004_seq_20260407_002145_9277_79131_79227,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_9277_79131_79227\000049.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0005_seq_20260406_233816_4177_37505_37533,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260406_233816_4177_37505_37533\000015.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0006_seq_20260407_002145_857_9338_9401,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_857_9338_9401\000033.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0007_seq_20260407_002145_538_5933_5957,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_538_5933_5957\000013.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0008_seq_20260407_002145_7976_67890_67949,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_7976_67890_67949\000031.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0009_seq_20260416_023145_13364_102886_102907,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_13364_102886_102907\000012.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0010_seq_20260416_023145_1911_15590_15608,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_1911_15590_15608\000010.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0011_seq_20260416_023145_10441_79025_79088,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_10441_79025_79088\000033.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0012_seq_20260416_023145_2139_17159_17223,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_2139_17159_17223\000033.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0013_seq_20260407_002145_6793_57026_57055,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_6793_57026_57055\000016.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0014_seq_20260406_233816_1415_14101_14118,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260406_233816_1415_14101_14118\000010.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0015_seq_20260416_023145_12722_97359_97374,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_12722_97359_97374\000009.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0016_seq_20260415_213755_82_751_784,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260415_213755_82_751_784\000018.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0017_seq_20260407_002145_7375_62219_62246,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_7375_62219_62246\000015.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0018_seq_20260407_002145_14579_129160_129223,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_14579_129160_129223\000033.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0019_seq_20260416_023145_13148_100813_100831,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_13148_100813_100831\000010.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0020_seq_20260416_023145_14159_110889_110904,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_14159_110889_110904\000009.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0021_seq_20260416_023145_9494_70284_70385,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_9494_70284_70385\000052.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0022_seq_20260407_002145_5131_45699_45766,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_5131_45699_45766\000035.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0023_seq_20260407_002145_7977_67830_67852,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_7977_67830_67852\000012.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0024_seq_20260407_002145_14319_127644_127668,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_14319_127644_127668\000013.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0025_seq_20260416_023145_10184_76851_76875,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_10184_76851_76875\000013.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0026_seq_20260416_023145_4365_33268_33353,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_4365_33268_33353\000044.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0027_seq_20260406_233816_1217_12516_12579,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260406_233816_1217_12516_12579\000033.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0028_seq_20260416_023145_5788_43649_43664,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_5788_43649_43664\000009.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0029_seq_20260416_023145_1296_10203_10227,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_1296_10203_10227\000013.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0030_seq_20260416_023145_3597_28123_28193,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_3597_28123_28193\000036.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0031_seq_20260416_023145_4356_33217_33232,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_4356_33217_33232\000009.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0032_seq_20260407_002145_2129_20035_20108,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_2129_20035_20108\000038.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0033_seq_20260416_023145_8781_64585_64619,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_8781_64585_64619\000018.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0034_seq_20260416_023145_15665_126127_126146,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_15665_126127_126146\000011.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0035_seq_20260407_002145_6306_53902_53953,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_6306_53902_53953\000027.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0036_seq_20260407_002145_8308_70663_70717,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_8308_70663_70717\000028.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0037_seq_20260407_002145_6446_54885_54950,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_6446_54885_54950\000034.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0038_seq_20260416_023145_13636_105153_105206,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_13636_105153_105206\000028.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0039_seq_20260416_023145_2019_16149_16230,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_2019_16149_16230\000042.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0040_seq_20260407_002145_15278_135021_135063,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_15278_135021_135063\000022.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0041_seq_20260416_023145_10451_79089_79113,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_10451_79089_79113\000013.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0042_seq_20260407_002145_8620_73141_73248,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_8620_73141_73248\000055.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0043_seq_20260407_002145_9838_83747_83771,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_9838_83747_83771\000013.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0044_seq_20260407_002145_6867_58133_58202,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_6867_58133_58202\000036.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0045_seq_20260407_002145_14833_131198_131228,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_14833_131198_131228\000016.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0046_seq_20260407_002145_9048_76632_76649,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_9048_76632_76649\000010.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0047_seq_20260416_023145_4334_33190_33205,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_4334_33190_33205\000009.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0048_seq_20260407_002145_12448_107442_107468,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_12448_107442_107468\000014.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0049_seq_20260407_002145_4358_38989_39048,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_4358_38989_39048\000031.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0050_seq_20260416_023145_8535_63146_63204,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_8535_63146_63204\000030.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0051_seq_20260416_023145_2351_18898_18946,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_2351_18898_18946\000025.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0052_seq_20260416_023145_10604_80127_80206,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_10604_80127_80206\000041.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0053_seq_20260411_035325_15_255_274,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260411_035325_15_255_274\000011.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0054_seq_20260416_023145_17197_138537_138576,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_17197_138537_138576\000021.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0055_seq_20260415_213755_274_3033_3063,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260415_213755_274_3033_3063\000016.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0056_seq_20260406_233816_924_10062_10097,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260406_233816_924_10062_10097\000019.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0057_seq_20260416_023145_10132_76262_76345,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_10132_76262_76345\000043.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0058_seq_20260416_023145_14666_116145_116194,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_14666_116145_116194\000026.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0059_seq_20260407_002145_9017_76494_76510,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_9017_76494_76510\000009.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0060_seq_20260416_023145_13458_103750_103789,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_13458_103750_103789\000021.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0061_seq_20260407_002145_13406_119057_119092,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_13406_119057_119092\000019.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0062_seq_20260407_002145_11831_101359_101389,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_11831_101359_101389\000016.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0063_seq_20260406_233816_2841_25920_25947,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260406_233816_2841_25920_25947\000015.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0064_seq_20260416_023145_9454_70059_70114,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_9454_70059_70114\000029.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0065_seq_20260407_002145_12923_113624_113642,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_12923_113624_113642\000010.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0066_seq_20260416_023145_11622_87841_87863,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_11622_87841_87863\000012.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0067_seq_20260416_023145_17077_136948_136974,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_17077_136948_136974\000014.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0068_seq_20260407_002145_11812_101174_101282,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_11812_101174_101282\000055.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0069_seq_20260407_002145_3959_36171_36197,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_3959_36171_36197\000014.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0070_seq_20260407_002145_1701_16632_16687,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_1701_16632_16687\000029.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0071_seq_20260407_002145_9388_79891_79953,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_9388_79891_79953\000032.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0072_seq_20260407_002145_3656_34043_34066,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_3656_34043_34066\000013.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0073_seq_20260406_233816_868_9423_9441,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260406_233816_868_9423_9441\000010.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0074_seq_20260407_002145_10218_87019_87038,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_10218_87019_87038\000011.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0075_seq_20260416_023145_14703_116589_116608,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_14703_116589_116608\000011.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0076_seq_20260406_233816_1423_14281_14321,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260406_233816_1423_14281_14321\000021.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0077_seq_20260406_233816_4046_36824_36851,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260406_233816_4046_36824_36851\000015.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0078_seq_20260406_233816_1610_16101_16120,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260406_233816_1610_16101_16120\000011.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0079_seq_20260407_002145_7410_62702_62763,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_7410_62702_62763\000032.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0080_seq_20260407_002145_5311_47125_47151,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_5311_47125_47151\000014.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0081_seq_20260407_002145_10567_89683_89708,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_10567_89683_89708\000014.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0082_seq_20260416_023145_5361_40328_40384,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_5361_40328_40384\000029.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0083_seq_20260416_023145_16460_131662_131726,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_16460_131662_131726\000033.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0084_seq_20260416_023145_12430_94127_94205,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_12430_94127_94205\000040.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0085_seq_20260407_002145_5615_49044_49061,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_5615_49044_49061\000010.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0086_seq_20260416_023145_14194_111300_111320,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_14194_111300_111320\000011.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0087_seq_20260407_002145_1365_13768_13784,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_1365_13768_13784\000009.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0088_seq_20260407_002145_6133_52935_52950,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_6133_52935_52950\000009.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0089_seq_20260407_002145_5784_50019_50056,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_5784_50019_50056\000020.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0090_seq_20260407_002145_3708_34464_34485,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_3708_34464_34485\000012.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0091_seq_20260407_002145_4088_37086_37147,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_4088_37086_37147\000032.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0092_seq_20260416_023145_8458_62054_62072,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_8458_62054_62072\000010.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0093_seq_20260416_023145_6287_46516_46537,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_6287_46516_46537\000012.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0094_seq_20260407_002145_11940_102556_102594,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_11940_102556_102594\000020.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0095_seq_20260416_023145_10630_80199_80232,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_10630_80199_80232\000018.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0096_seq_20260416_023145_9705_72387_72430,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_9705_72387_72430\000023.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0097_seq_20260406_233816_4212_37963_37983,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260406_233816_4212_37963_37983\000011.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0098_seq_20260407_002145_14162_126770_126787,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_14162_126770_126787\000010.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0099_seq_20260407_002145_11003_92965_93013,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_11003_92965_93013\000025.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0100_seq_20260407_002145_13520_120521_120555,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_13520_120521_120555\000018.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0101_seq_20260407_002145_1686_16540_16603,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_1686_16540_16603\000033.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0102_seq_20260407_002145_2113_19941_19969,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_2113_19941_19969\000015.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0103_seq_20260416_023145_1014_8103_8149,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_1014_8103_8149\000024.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0104_seq_20260416_023145_189_2086_2101,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_189_2086_2101\000009.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0105_seq_20260406_233816_4665_41336_41381,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260406_233816_4665_41336_41381\000024.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0106_seq_20260407_002145_10452_88727_88754,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_10452_88727_88754\000015.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0107_seq_20260407_002145_4112_37181_37197,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_4112_37181_37197\000009.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0108_seq_20260406_233816_1185_12174_12220,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260406_233816_1185_12174_12220\000024.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0109_seq_20260407_002145_13869_124094_124118,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_13869_124094_124118\000013.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0110_seq_20260416_023145_16627_132923_132986,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_16627_132923_132986\000033.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0111_seq_20260416_023145_8416_61723_61770,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_8416_61723_61770\000025.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0112_seq_20260416_023145_12176_91848_91881,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_12176_91848_91881\000018.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0113_seq_20260416_023145_12059_91133_91213,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_12059_91133_91213\000041.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0114_seq_20260407_002145_7101_59855_59890,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_7101_59855_59890\000019.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0115_seq_20260407_002145_14041_125680_125697,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_14041_125680_125697\000010.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0116_seq_20260416_023145_408_4362_4396,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_408_4362_4396\000018.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0117_seq_20260407_002145_6005_51676_51693,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_6005_51676_51693\000010.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0118_seq_20260416_023145_8050_58735_58763,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_8050_58735_58763\000015.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0119_seq_20260416_023145_15637_125946_125996,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_15637_125946_125996\000026.jpg,Car,car,normal,sequence_crop,,,,,approved_normal_sequence
normal_0120_seq_20260416_023145_9107_67449_67504,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260416_023145_9107_67449_67504\000029.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
normal_0121_seq_20260406_233816_2169_20242_20317,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260406_233816_2169_20242_20317\000039.jpg,Bus,bus,normal,sequence_crop,,,,,approved_normal_sequence
normal_0122_seq_20260407_002145_12920_113512_113531,D:\school\uni\sem 6\cv\traffic\dataset\sequences\seq_20260407_002145_12920_113512_113531\000011.jpg,Truck,truck,normal,sequence_crop,,,,,approved_normal_sequence
