sample_id,run_tag,frame_idx,track_id,class_name,status,crop_path,crop_width,crop_height,lane_id,source
20260409_043053_f56_t3,20260409_043053,56,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f56_t3.jpg,45,79,,candidate_normal
20260409_043053_f57_t3,20260409_043053,57,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f57_t3.jpg,50,85,,candidate_normal
20260409_043053_f58_t3,20260409_043053,58,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f58_t3.jpg,58,96,,candidate_normal
20260409_043053_f59_t3,20260409_043053,59,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f59_t3.jpg,62,101,,candidate_normal
20260409_043053_f60_t3,20260409_043053,60,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f60_t3.jpg,62,97,,candidate_normal
20260409_043053_f61_t3,20260409_043053,61,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f61_t3.jpg,64,94,,candidate_normal
20260409_043053_f62_t3,20260409_043053,62,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f62_t3.jpg,65,90,,candidate_normal
20260409_043053_f63_t3,20260409_043053,63,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f63_t3.jpg,67,89,,candidate_normal
20260409_043053_f65_t3,20260409_043053,65,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f65_t3.jpg,68,82,,candidate_normal
20260409_043053_f66_t3,20260409_043053,66,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f66_t3.jpg,68,79,,candidate_normal
20260409_043053_f67_t3,20260409_043053,67,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f67_t3.jpg,69,78,,candidate_normal
20260409_043053_f68_t3,20260409_043053,68,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f68_t3.jpg,69,75,,candidate_normal
20260409_043053_f70_t3,20260409_043053,70,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f70_t3.jpg,69,72,,candidate_normal
20260409_043053_f71_t3,20260409_043053,71,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f71_t3.jpg,70,71,,candidate_normal
20260409_043053_f73_t7,20260409_043053,73,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f73_t7.jpg,79,67,,candidate_normal
20260409_043053_f74_t3,20260409_043053,74,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f74_t3.jpg,67,65,,candidate_normal
20260409_043053_f75_t3,20260409_043053,75,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f75_t3.jpg,66,63,,candidate_normal
20260409_043053_f76_t3,20260409_043053,76,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f76_t3.jpg,68,64,,candidate_normal
20260409_043053_f77_t7,20260409_043053,77,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f77_t7.jpg,76,65,,candidate_normal
20260409_043053_f78_t3,20260409_043053,78,3,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f78_t3.jpg,67,63,,candidate_normal
20260409_043053_f79_t7,20260409_043053,79,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f79_t7.jpg,74,63,,candidate_normal
20260409_043053_f80_t7,20260409_043053,80,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f80_t7.jpg,71,61,,candidate_normal
20260409_043053_f81_t7,20260409_043053,81,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f81_t7.jpg,70,60,,candidate_normal
20260409_043053_f82_t7,20260409_043053,82,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f82_t7.jpg,67,58,,candidate_normal
20260409_043053_f83_t7,20260409_043053,83,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f83_t7.jpg,67,57,,candidate_normal
20260409_043053_f84_t7,20260409_043053,84,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f84_t7.jpg,66,57,,candidate_normal
20260409_043053_f85_t7,20260409_043053,85,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f85_t7.jpg,64,56,,candidate_normal
20260409_043053_f86_t7,20260409_043053,86,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f86_t7.jpg,64,55,,candidate_normal
20260409_043053_f87_t7,20260409_043053,87,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f87_t7.jpg,62,55,,candidate_normal
20260409_043053_f88_t7,20260409_043053,88,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f88_t7.jpg,62,55,,candidate_normal
20260409_043053_f89_t7,20260409_043053,89,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f89_t7.jpg,60,53,,candidate_normal
20260409_043053_f90_t7,20260409_043053,90,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f90_t7.jpg,61,53,,candidate_normal
20260409_043053_f91_t7,20260409_043053,91,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f91_t7.jpg,60,53,,candidate_normal
20260409_043053_f92_t7,20260409_043053,92,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f92_t7.jpg,60,53,,candidate_normal
20260409_043053_f93_t7,20260409_043053,93,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f93_t7.jpg,57,50,,candidate_normal
20260409_043053_f94_t7,20260409_043053,94,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f94_t7.jpg,58,52,,candidate_normal
20260409_043053_f95_t7,20260409_043053,95,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f95_t7.jpg,57,51,,candidate_normal
20260409_043053_f96_t7,20260409_043053,96,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f96_t7.jpg,55,49,,candidate_normal
20260409_043053_f97_t7,20260409_043053,97,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f97_t7.jpg,56,50,,candidate_normal
20260409_043053_f98_t7,20260409_043053,98,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f98_t7.jpg,55,49,,candidate_normal
20260409_043053_f99_t7,20260409_043053,99,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f99_t7.jpg,56,50,,candidate_normal
20260409_043053_f100_t7,20260409_043053,100,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f100_t7.jpg,55,50,,candidate_normal
20260409_043053_f103_t7,20260409_043053,103,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f103_t7.jpg,53,47,,candidate_normal
20260409_043053_f104_t7,20260409_043053,104,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f104_t7.jpg,52,47,,candidate_normal
20260409_043053_f105_t7,20260409_043053,105,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f105_t7.jpg,52,47,,candidate_normal
20260409_043053_f106_t7,20260409_043053,106,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f106_t7.jpg,52,47,,candidate_normal
20260409_043053_f107_t7,20260409_043053,107,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f107_t7.jpg,52,46,,candidate_normal
20260409_043053_f108_t7,20260409_043053,108,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f108_t7.jpg,52,46,,candidate_normal
20260409_043053_f109_t7,20260409_043053,109,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f109_t7.jpg,52,47,,candidate_normal
20260409_043053_f110_t7,20260409_043053,110,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f110_t7.jpg,51,46,,candidate_normal
20260409_043053_f111_t7,20260409_043053,111,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f111_t7.jpg,51,46,,candidate_normal
20260409_043053_f112_t7,20260409_043053,112,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f112_t7.jpg,50,45,,candidate_normal
20260409_043053_f113_t7,20260409_043053,113,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f113_t7.jpg,49,45,,candidate_normal
20260409_043053_f114_t7,20260409_043053,114,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f114_t7.jpg,50,45,,candidate_normal
20260409_043053_f116_t7,20260409_043053,116,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f116_t7.jpg,51,46,,candidate_normal
20260409_043053_f120_t7,20260409_043053,120,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f120_t7.jpg,50,45,,candidate_normal
20260409_043053_f121_t7,20260409_043053,121,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f121_t7.jpg,48,45,,candidate_normal
20260409_043053_f122_t7,20260409_043053,122,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f122_t7.jpg,48,44,,candidate_normal
20260409_043053_f123_t7,20260409_043053,123,7,Car,pending,/Users/dasontiovino/Documents/Programming/Python/computer_vision/traffic/dataset/ganomaly/candidates/20260409_043053_f123_t7.jpg,48,44,,candidate_normal
